step,speedX,speedY,speedZ,angle,trackPos,damage,rpm,gear,accel,brake,steer,targetSpeed,section,front,best_i,best_distance,anglePlan,severity,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
99984,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6416.44,1,0.45,0.0,-0.25283013459806425,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99983,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6497.94,1,0.45,0.0,-0.25578288963473195,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99982,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6580.38,1,0.45,0.0,-0.2583222589662662,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99981,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6663.78,1,0.45,0.0,-0.2605061165913857,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99980,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6748.14,1,0.45,0.0,-0.26238423414898837,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99979,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6833.45,1,0.45,0.0,-0.2639994152485267,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99978,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6919.74,1,0.45,0.0,-0.2653884709941297,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99977,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,7007.01,1,0.45,0.0,-0.2665830589353483,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99976,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,7095.25,1,0.45,0.0,-0.26761040456479623,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99975,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,7184.49,1,0.45,0.0,-0.26849392180612147,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99974,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,7274.71,1,0.45,0.0,-0.2692537466336612,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99973,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,7365.93,1,0.45,0.0,-0.26990719598534535,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99972,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,7458.15,1,0.45,0.0,-0.27046916242779373,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99971,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,7551.38,1,0.45,0.0,-0.27095245356829933,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99970,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,7645.62,1,0.45,0.0,-0.27136808394913414,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99969,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,7740.87,1,0.45,0.0,-0.27172552607665207,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99968,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,7837.14,1,0.45,0.0,-0.2720329263063175,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99967,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,7934.43,1,0.45,0.0,-0.2722972905038297,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99966,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,8032.76,1,0.45,0.0,-0.2725246437136903,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99965,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,8132.11,1,0.45,0.0,-0.2727201674741704,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99964,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,8232.5,1,0.45,0.0,-0.27288831790818324,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99963,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,8333.92,1,0.45,0.0,-0.2730329272814343,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99962,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,8436.39,1,0.45,0.0,-0.2731572913424302,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99961,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,8539.9,1,0.45,0.0,-0.2732642444348867,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99960,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,8644.46,1,0.45,0.0,-0.2733562240943993,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99959,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,8750.07,1,0.45,0.0,-0.2734353266015801,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99958,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,8856.73,1,0.45,0.0,-0.2735033547577556,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99957,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,8964.44,1,0.45,0.0,-0.27356185897206653,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
