step,speedX,speedY,speedZ,angle,trackPos,damage,rpm,gear,accel,brake,steer,targetSpeed,section,phase,front,front_delta,best_i,best_distance,anglePlan,severity,desired_track_pos,emergency_front_brake,stability_mode,stuck_counter,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
99990,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,5946.99,1,0.45,0.0,-0.12925428381275217,181,SHALLOW,APEX,62.0267,0.0,4,90.9268,-4,0.38260171114337566,-0.12,0.0,False,11,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99989,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6022.94,1,0.45,0.0,-0.13220959324850284,181,SHALLOW,APEX,62.0267,0.0,4,90.9268,-4,0.38260171114337566,-0.12,0.0,False,12,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99988,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6099.79,1,0.45,0.0,-0.1346329469858184,181,SHALLOW,APEX,62.0267,0.0,4,90.9268,-4,0.38260171114337566,-0.12,0.0,False,13,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99987,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6177.57,1,0.45,0.0,-0.13662009705041717,181,SHALLOW,APEX,62.0267,0.0,4,90.9268,-4,0.38260171114337566,-0.12,0.0,False,14,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99986,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6256.26,1,0.45,0.0,-0.13824956010338815,181,SHALLOW,APEX,62.0267,0.0,4,90.9268,-4,0.38260171114337566,-0.12,0.0,False,15,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99985,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6335.88,1,0.45,0.0,-0.13958571980682435,181,SHALLOW,APEX,62.0267,0.0,4,90.9268,-4,0.38260171114337566,-0.12,0.0,False,16,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99984,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6416.44,1,0.45,0.0,-0.14068137076364204,181,SHALLOW,APEX,62.0267,0.0,4,90.9268,-4,0.38260171114337566,-0.12,0.0,False,17,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99983,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6497.94,1,0.45,0.0,-0.14157980454823255,181,SHALLOW,APEX,62.0267,0.0,4,90.9268,-4,0.38260171114337566,-0.12,0.0,False,18,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99982,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6580.38,1,0.45,0.0,-0.14231652025159675,181,SHALLOW,APEX,62.0267,0.0,4,90.9268,-4,0.38260171114337566,-0.12,0.0,False,19,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99981,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6663.78,1,0.45,0.0,-0.1429206271283554,181,SHALLOW,APEX,62.0267,0.0,4,90.9268,-4,0.38260171114337566,-0.12,0.0,False,20,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
